VTX, IDX, _sig60._child0.x, _sig60._child0.y, _sig60._child0.z, _sig60._child0.w, _output0.x, _output0.y, _output0.z, _output0.w, _output1.x, _output1.y, _output1.z, _output1.w, _output3.x, _output3.y
0, 5520, -1.50732, -85.01406, -176.78603,  196.78603, -1.50732,  85.01406,  10.00,  196.78603, -1.61458,  84.72896,  10.00,  196.75868,  0.01111,  0.28369
1, 5521, -1.40737, -86.20931, -176.43109,  196.43109, -1.40737,  86.20931,  10.00,  196.43109, -1.51489,  85.92406,  10.00,  196.40356,  0.02838,  0.26563
2, 5522, -1.41957, -86.07843, -176.38776,  196.38776, -1.41957,  86.07843,  10.00,  196.38776, -1.52713,  85.79317,  10.00,  196.36024,  0.02661,  0.26343
3, 5523, -1.50732, -85.01406, -176.78603,  196.78603, -1.50732,  85.01406,  10.00,  196.78603, -1.61458,  84.72896,  10.00,  196.75868,  0.01111,  0.28369
4, 5524, -1.41957, -86.07843, -176.38776,  196.38776, -1.41957,  86.07843,  10.00,  196.38776, -1.52713,  85.79317,  10.00,  196.36024,  0.02661,  0.26343
5, 5525, -1.44064, -86.21148, -176.4299,  196.4299, -1.44064,  86.21148,  10.00,  196.4299, -1.54817,  85.92616,  10.00,  196.40237,  0.02838,  0.26563
6, 5526, -3.60832, -81.11246, -178.96928,  198.96928, -3.60832,  81.11246,  10.00,  198.96928, -3.7138,  80.82854,  10.00,  198.94299,  0.46436,  0.50635
7, 5527, -3.88099, -81.01798, -179.01991,  199.01991, -3.88099,  81.01798,  10.00,  199.01991, -3.98643,  80.73413,  10.00,  198.99371,  0.45508,  0.50732
8, 5528, -3.68779, -81.04065, -178.98973,  198.98973, -3.68779,  81.04065,  10.00,  198.98973, -3.79325,  80.75675,  10.00,  198.96349,  0.46338,  0.50635
9, 5529, -5.16155, -96.05952, -178.20552,  198.20552, -5.16155,  96.05952,  10.00,  198.20552, -5.26694,  95.7756,  10.00,  198.17784,  0.02756,  0.45361
10, 5530, -5.21789, -96.56506, -178.09352,  198.09352, -5.21789,  96.56506,  10.00,  198.09352, -5.32335,  96.28111,  10.00,  198.0658,  0.03087,  0.44238
11, 5531, -4.68846, -96.00415, -178.24547,  198.24547, -4.68846,  96.00415,  10.00,  198.24547, -4.79381,  95.72013,  10.00,  198.21765,  0.01555,  0.44263
12, 5532, -5.40618, -97.20177, -177.88437,  197.88437, -5.40618,  97.20177,  10.00,  197.88437, -5.5118,  96.9177,  10.00,  197.85663,  0.47949,  0.80762
13, 5533, -5.44386, -97.13722, -177.84395,  197.84395, -5.44386,  97.13722,  10.00,  197.84395, -5.54952,  96.8532,  10.00,  197.81621,  0.47949,  0.80762
14, 5534, -5.0776, -96.67683, -177.89775,  197.89775, -5.0776,  96.67683,  10.00,  197.89775, -5.18324,  96.39273,  10.00,  197.86998,  0.48486,  0.81787
15, 5535,  2.06788, -95.59857, -178.46667,  198.46667,  2.06788,  95.59857,  10.00,  198.46667,  1.96271,  95.31351,  10.00,  198.43703,  0.97217,  0.45361
16, 5536,  1.58623, -95.60407, -178.47214,  198.47214,  1.58623,  95.60407,  10.00,  198.47214,  1.48106,  95.31911,  10.00,  198.44261,  0.98438,  0.44263
17, 5537,  2.18069, -96.09332, -178.36081,  198.36081,  2.18069,  96.09332,  10.00,  198.36081,  2.07545,  95.80819,  10.00,  198.33102,  0.96875,  0.44238
18, 5538,  8.96249, -99.05249, -179.60458,  199.60458,  8.96249,  99.05249,  10.00,  199.60458,  8.85853,  98.76674,  10.00,  199.57254,  0.97314,  0.396
19, 5539,  7.03141, -100.6995, -178.57889,  198.57889,  7.03141,  100.6995,  10.00,  198.57889,  6.9266,  100.4136,  10.00,  198.5472,  0.96338,  0.40283
20, 5540,  8.63483, -99.68746, -179.72966,  199.72966,  8.63483,  99.68746,  10.00,  199.72966,  8.53102,  99.40185,  10.00,  199.69763,  0.96826,  0.39771
21, 5541,  2.46073, -96.70013, -178.16856,  198.16856,  2.46073,  96.70013,  10.00,  198.16856,  2.35535,  96.41488,  10.00,  198.13864,  0.52002,  0.80762
22, 5542,  2.11151, -96.21844, -178.15744,  198.15744,  2.11151,  96.21844,  10.00,  198.15744,  2.00609,  95.93326,  10.00,  198.12772,  0.51465,  0.81787
23, 5543,  2.50866, -96.63017, -178.13124,  198.13124,  2.50866,  96.63017,  10.00,  198.13124,  2.40324,  96.34492,  10.00,  198.10132,  0.52002,  0.80762
24, 5544, -1.64338, -115.77177, -181.33655,  201.33655, -1.64338,  115.77177,  10.00,  201.33655, -1.74488,  115.48843,  10.00,  201.30545,  0.02623,  0.22302
25, 5545, -13.73679, -104.52259, -182.08661,  202.08661, -13.73679,  104.52259,  10.00,  202.08661, -13.8382,  104.24162,  10.00,  202.06029,  0.03424,  0.22571
26, 5546, -8.65358, -110.89093, -181.71346,  201.71346, -8.65358,  110.89093,  10.00,  201.71346, -8.75499,  110.60897,  10.00,  201.68494,  0.03058,  0.22449
27, 5547, -11.88672, -100.99599, -178.98833,  198.98833, -11.88672,  100.99599,  10.00,  198.98833, -11.99113,  100.71352,  10.00,  198.96193,  0.03143,  0.39771
28, 5548, -9.88579, -101.77819, -177.96777,  197.96777, -9.88579,  101.77819,  10.00,  197.96777, -9.99109,  101.49493,  10.00,  197.94073,  0.03625,  0.40283
29, 5549, -12.19373, -100.40145, -178.84032,  198.84032, -12.19373,  100.40145,  10.00,  198.84032, -12.29831,  100.11889,  10.00,  198.81409,  0.0265,  0.396
30, 5550, -0.3143, -80.90229, -179.08827,  199.08827, -0.3143,  80.90229,  10.00,  199.08827, -0.41969,  80.61789,  10.00,  199.06108,  0.53516,  0.50635
31, 5551, -0.24558, -80.82111, -179.11407,  199.11407, -0.24558,  80.82111,  10.00,  199.11407, -0.35095,  80.53674,  10.00,  199.08688,  0.53613,  0.50635
