VTX, IDX, _sig60._child0.x, _sig60._child0.y, _sig60._child0.z, _sig60._child0.w, _output0.x, _output0.y, _output0.z, _output0.w, _output1.x, _output1.y, _output1.z, _output1.w
0, 2375,  9.91434, -102.45986, -184.45863,  204.45863,  9.91434,  102.45986,  10.00,  204.45863,  9.81489,  102.17599,  10.00,  204.42599
1, 2376,  9.96967, -103.27785, -182.89764,  202.89764,  9.96967,  103.27785,  10.00,  202.89764,  9.86893,  102.99324,  10.00,  202.86481
2, 2377,  8.3594, -97.02032, -184.72937,  204.72937,  8.3594,  97.02032,  10.00,  204.72937,  8.25971,  96.73713,  10.00,  204.6981
3, 2378, -14.61052, -103.96795, -183.5179,  203.5179, -14.61052,  103.96795,  10.00,  203.5179, -14.71064,  103.6875,  10.00,  203.49178
4, 2379, -13.37119, -98.17531, -183.67805,  203.67805, -13.37119,  98.17531,  10.00,  203.67805, -13.4713,  97.89426,  10.00,  203.65184
5, 2380, -14.10519, -104.81293, -182.02795,  202.02795, -14.10519,  104.81293,  10.00,  202.02795, -14.20664,  104.53201,  10.00,  202.00171
6, 2381,  21.15659, -45.48775, -198.92668,  218.92668,  21.15659,  45.48775,  10.00,  218.92668,  21.01263,  44.95683,  10.00,  218.81679
7, 2382,  19.30266, -38.59814, -201.10008,  221.10008,  19.30266,  38.59814,  10.00,  221.10008,  19.14983,  38.03076,  10.00,  220.97856
8, 2383,  19.29175, -38.01236, -200.98993,  220.98993,  19.29175,  38.01236,  10.00,  220.98993,  19.13852,  37.44585,  10.00,  220.86775
9, 2384, -5.5353, -94.8407, -188.25093,  208.25093, -5.5353,  94.8407,  10.00,  208.25093, -5.63328,  94.5603,  10.00,  208.22313
10, 2385, -4.12665, -91.07507, -188.74013,  208.74013, -4.12665,  91.07507,  10.00,  208.74013, -4.22506,  90.79467,  10.00,  208.71245
11, 2386, -5.47121, -94.86458, -188.20277,  208.20277, -5.47121,  94.86458,  10.00,  208.20277, -5.56922,  94.5842,  10.00,  208.17496
12, 2385, -4.12665, -91.07507, -188.74013,  208.74013, -4.12665,  91.07507,  10.00,  208.74013, -4.22506,  90.79467,  10.00,  208.71245
13, 2387, -3.8015, -93.67299, -188.34735,  208.34735, -3.8015,  93.67299,  10.00,  208.34735, -3.89952,  93.39251,  10.00,  208.31937
14, 2386, -5.47121, -94.86458, -188.20277,  208.20277, -5.47121,  94.86458,  10.00,  208.20277, -5.56922,  94.5842,  10.00,  208.17496
15, 2388, -10.82787, -100.90482, -184.82469,  204.82469, -10.82787,  100.90482,  10.00,  204.82469, -10.92709,  100.62417,  10.00,  204.79778
